id,should_trigger,prompt
explicit-en,true,"Use the $software-design-philosophy skill to review this payment module and compare two API designs."
explicit-zh,true,"使用 $software-design-philosophy 评审这个订单模块，给出两个不同的模块边界方案。"
change-amplification-zh,true,"这个业务规则每次修改都要同步改 API、数据库、前端和测试，请分析变更放大并提出重构方案。"
deep-module-en,true,"Refactor this storage layer into a deep module so callers no longer manage serialization, retries, and cleanup."
information-hiding-en,true,"Review this parser for information leakage and identify which module should own the file format."
error-semantics-zh,true,"这些调用方都在捕获不存在异常并忽略，请重新设计操作语义以减少异常分支。"
design-twice-en,true,"Compare two substantially different designs for this cache API and recommend the lower-complexity option."
maintainability-review-en,true,"Review the architecture of this pull request for cognitive load, hidden dependencies, and pass-through layers."
comments-naming-zh,true,"评审这些接口命名和注释，重点判断是否表达了抽象、约束和不变量。"
new-subsystem-en,true,"Design a notification subsystem with simple caller APIs, safe defaults, and localized delivery policy."
format-only,false,"Format these TypeScript files with the repository formatter."
dependency-bump,false,"Upgrade Vite to the latest compatible version and update the lockfile."
release-notes,false,"Draft release notes from these merged pull requests."
local-bug-fix,false,"Fix the off-by-one error in this loop and add a regression test; do not change the API."
translation,false,"Translate this README from English to Chinese."
performance-measurement,false,"Profile this rendering loop and report the three hottest functions without proposing an architecture change."
